segment_id,segment_name,lifecycle_stage,lifecycle_day,primary_goal,sub_goals,success_metric,priority
0,Balanced Learners 0,trial,D0,activation,"onboarding_complete,first_exercise",exercises_completed >= 1,critical
0,Balanced Learners 0,trial,D1,habit_formation,"daily_exercise,streak_building",streak_current >= 2,high
0,Balanced Learners 0,trial,D2,habit_formation,"daily_exercise,streak_building",streak_current >= 3,high
0,Balanced Learners 0,trial,D3,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
0,Balanced Learners 0,trial,D4,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
0,Balanced Learners 0,trial,D5,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
0,Balanced Learners 0,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
0,Balanced Learners 0,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
0,Balanced Learners 0,paid,D8-D14,retention,"continued_engagement,habit_maintenance",exercises_completed >= 1,critical
0,Balanced Learners 0,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
0,Balanced Learners 0,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
0,Balanced Learners 0,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
0,Balanced Learners 0,inactive,any,activation,"first_engagement,value_discovery",exercises_completed >= 1,medium
1,Social Competitors 1,trial,D0,activation,"onboarding_complete,first_exercise",exercises_completed >= 1,critical
1,Social Competitors 1,trial,D1,habit_formation,"daily_exercise,streak_building",streak_current >= 2,high
1,Social Competitors 1,trial,D2,habit_formation,"daily_exercise,streak_building",streak_current >= 3,high
1,Social Competitors 1,trial,D3,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
1,Social Competitors 1,trial,D4,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
1,Social Competitors 1,trial,D5,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
1,Social Competitors 1,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
1,Social Competitors 1,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
1,Social Competitors 1,paid,D8-D14,retention,"continued_engagement,habit_maintenance",exercises_completed >= 1,critical
1,Social Competitors 1,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
1,Social Competitors 1,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
1,Social Competitors 1,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
1,Social Competitors 1,inactive,any,activation,"first_engagement,value_discovery",exercises_completed >= 1,medium
2,At-Risk Churners,trial,D0,activation,"onboarding_complete,first_exercise",exercises_completed >= 1,critical
2,At-Risk Churners,trial,D1,habit_formation,"daily_exercise,streak_building",streak_current >= 2,high
2,At-Risk Churners,trial,D2,habit_formation,"daily_exercise,streak_building",streak_current >= 3,high
2,At-Risk Churners,trial,D3,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
2,At-Risk Churners,trial,D4,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
2,At-Risk Churners,trial,D5,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
2,At-Risk Churners,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
2,At-Risk Churners,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
2,At-Risk Churners,paid,D8-D14,retention,"continued_engagement,habit_maintenance",exercises_completed >= 1,critical
2,At-Risk Churners,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
2,At-Risk Churners,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
2,At-Risk Churners,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
2,At-Risk Churners,inactive,any,activation,"first_engagement,value_discovery",exercises_completed >= 1,medium
3,Independent Learners,trial,D0,activation,"onboarding_complete,first_exercise",exercises_completed >= 1,critical
3,Independent Learners,trial,D1,habit_formation,"daily_exercise,streak_building",streak_current >= 2,high
3,Independent Learners,trial,D2,habit_formation,"daily_exercise,streak_building",streak_current >= 3,high
3,Independent Learners,trial,D3,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
3,Independent Learners,trial,D4,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
3,Independent Learners,trial,D5,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
3,Independent Learners,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
3,Independent Learners,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
3,Independent Learners,paid,D8-D14,retention,"continued_engagement,habit_maintenance",exercises_completed >= 1,critical
3,Independent Learners,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
3,Independent Learners,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
3,Independent Learners,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
3,Independent Learners,inactive,any,activation,"first_engagement,value_discovery",exercises_completed >= 1,medium
4,Balanced Learners,trial,D0,activation,"onboarding_complete,first_exercise",exercises_completed >= 1,critical
4,Balanced Learners,trial,D1,habit_formation,"daily_exercise,streak_building",streak_current >= 2,high
4,Balanced Learners,trial,D2,habit_formation,"daily_exercise,streak_building",streak_current >= 3,high
4,Balanced Learners,trial,D3,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
4,Balanced Learners,trial,D4,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
4,Balanced Learners,trial,D5,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
4,Balanced Learners,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
4,Balanced Learners,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
4,Balanced Learners,paid,D8-D14,retention,"continued_engagement,habit_maintenance",exercises_completed >= 1,critical
4,Balanced Learners,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
4,Balanced Learners,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
4,Balanced Learners,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
4,Balanced Learners,inactive,any,activation,"first_engagement,value_discovery",exercises_completed >= 1,medium
5,Social Competitors 5,trial,D0,activation,"onboarding_complete,first_exercise",exercises_completed >= 1,critical
5,Social Competitors 5,trial,D1,habit_formation,"daily_exercise,streak_building",streak_current >= 2,high
5,Social Competitors 5,trial,D2,habit_formation,"daily_exercise,streak_building",streak_current >= 3,high
5,Social Competitors 5,trial,D3,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
5,Social Competitors 5,trial,D4,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
