segment_id,lifecycle_stage,time_window,priority,expected_ctr,expected_engagement,uninstall_risk,composite_score,confidence,total_samples,optimization_method
0,all,late_afternoon,1,0.12687192398474983,0.31717980996187456,0,0.07755198964719966,MEDIUM,421,behavioral_pattern
0,all,evening,2,0.12687192398474983,0.31717980996187456,0,0.07563712570529349,MEDIUM,421,behavioral_pattern
2,all,early_morning,1,0.12719810618088417,0.31799526545221046,0,0.08653942875735872,MEDIUM,231,behavioral_pattern
2,all,mid_morning,2,0.12719810618088417,0.31799526545221046,0,0.07417665322059319,MEDIUM,231,behavioral_pattern
3,all,afternoon,1,0.14621447222983017,0.36553618057457543,0,0.14371573681227676,MEDIUM,164,behavioral_pattern
3,all,mid_morning,2,0.14621447222983017,0.36553618057457543,0,0.13103493650531117,MEDIUM,164,behavioral_pattern
5,all,afternoon,1,0.14407093754516773,0.36017734386291933,0,0.13500604107146447,MEDIUM,142,behavioral_pattern
5,all,evening,2,0.14407093754516773,0.36017734386291933,0,0.13035066034486223,MEDIUM,142,behavioral_pattern
1,all,late_afternoon,1,0.13501355051190514,0.33753387627976283,0,0.19349593703947568,MEDIUM,38,behavioral_pattern
1,all,night,2,0.13501355051190514,0.33753387627976283,0,0.13821138359962548,MEDIUM,38,behavioral_pattern
4,all,early_morning,1,0.15317173526748715,0.3829293381687179,0,0.5981820217592302,MEDIUM,4,behavioral_pattern
4,all,afternoon,2,0.15317173526748715,0.3829293381687179,0,0.19939400725307674,MEDIUM,4,behavioral_pattern
